Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Sikander Bakht "," 						  36.00 					"," 						  2.97 					"," 						  72.6 					","27.6642"
"Salman Butt "," 						  106.00 					"," 						  4.64 					"," 						  137.0 					","105.434666667"
"Saeed Ajmal "," 						  28.10 					"," 						  2.58 					"," 						  65.1 					","20.53267"
"Saleem Jaffar "," 						  31.63 					"," 						  2.70 					"," 						  70.3 					","23.662403"
"Mohammad Irfan "," 						  38.90 					"," 						  3.27 					"," 						  71.2 					","30.464535"
"Sohail Tanvir "," 						  63.20 					"," 						  3.76 					"," 						  100.8 					","55.0429866667"
"Tahir Naqqash "," 						  41.11 					"," 						  2.99 					"," 						  82.3 					","32.4364751667"
"Taslim Arif "," 						  28.00 					"," 						  5.60 					"," 						  30.0 					","23.4266666667"
"Tauseef Ahmed "," 						  31.72 					"," 						  2.27 					"," 						  83.6 					","23.7778406667"
"Tanvir Ahmed "," 						  26.64 					"," 						  3.84 					"," 						  41.5 					","20.16648"
"Umar Gul "," 						  34.06 					"," 						  3.47 					"," 						  58.8 					","26.2267676667"
"Waqar Younis "," 						  23.56 					"," 						  3.25 					"," 						  43.4 					","17.1135913333"
"Wasim Akram "," 						  23.62 					"," 						  2.59 					"," 						  54.6 					","16.7768923333"
"Wasim Raja "," 						  35.80 					"," 						  2.68 					"," 						  80.0 					","27.4347333333"
"Wahab Riaz "," 						  33.53 					"," 						  3.43 					"," 						  58.5 					","25.7203041667"
"Younis Khan "," 						  54.55 					"," 						  3.66 					"," 						  89.3 					","45.936555"
"Yasir Arafat "," 						  48.66 					"," 						  4.19 					"," 						  69.6 					","40.563787"
"Yasir Ali "," 						  27.50 					"," 						  2.75 					"," 						  60.0 					","20.0864583333"
"Yasir Shah "," 						  29.44 					"," 						  3.14 					"," 						  56.2 					","21.9494826667"
"Zaheer Abbas "," 						  44.00 					"," 						  2.14 					"," 						  123.3 					","36.1430666667"
"Zakir Khan "," 						  51.80 					"," 						  3.50 					"," 						  88.8 					","43.0855133333"
"Zulfiqar Ahmed "," 						  18.30 					"," 						  1.70 					"," 						  64.2 					","12.39947"
"Zulfiqar Babar "," 						  39.42 					"," 						  2.85 					"," 						  82.9 					","30.828411"
"Iftikhar Ahmed "," 						  13.00 					"," 						  3.00 					"," 						  26.0 					","8.801"
"Ehsan Adil "," 						  52.60 					"," 						  3.28 					"," 						  96.2 					","43.8543733333"
"Hasan Ali "," 						  27.33 					"," 						  2.30 					"," 						  71.1 					","19.851601"
"Shadab Khan "," 						  145.00 					"," 						  3.62 					"," 						  240.0 					","165.469166667"
