Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Jackie Botten "," 						  42.12 					"," 						  2.44 					"," 						  103.5 					","33.66792"
"Mark Boucher "," 						  6.00 					"," 						  4.50 					"," 						  8.0 					","4.371"
"Harry Bromfield "," 						  35.23 					"," 						  1.98 					"," 						  106.4 					","27.419509"
"Lennox Brown "," 						  63.00 					"," 						  3.56 					"," 						  106.0 					","54.789"
"Sydney Burke "," 						  23.36 					"," 						  2.33 					"," 						  60.0 					","16.4902133333"
"Johan Botha "," 						  33.70 					"," 						  3.38 					"," 						  59.8 					","25.8400366667"
"Claude Carter "," 						  24.78 					"," 						  2.82 					"," 						  52.6 					","17.834166"
"Bob Catterall "," 						  23.14 					"," 						  2.84 					"," 						  48.8 					","16.5049906667"
"Horace Chapman "," 						  104.00 					"," 						  4.95 					"," 						  126.0 					","103.038"
"Grahame Chevalier "," 						  20.00 					"," 						  2.37 					"," 						  50.6 					","13.789"
"Jim Christy "," 						  46.00 					"," 						  4.00 					"," 						  69.0 					","37.7813333333"
"Geoff Chubb "," 						  27.47 					"," 						  2.42 					"," 						  67.8 					","19.9642803333"
"Conky Conyngham "," 						  51.50 					"," 						  1.68 					"," 						  183.0 					","47.071"
"Joe Cox "," 						  61.25 					"," 						  2.55 					"," 						  144.0 					","54.3134375"
"Bob Crisp "," 						  37.35 					"," 						  3.13 					"," 						  71.4 					","28.9605675"
"Hansie Cronje "," 						  29.95 					"," 						  2.03 					"," 						  88.3 					","22.3132491667"
"Daryll Cullinan "," 						  35.50 					"," 						  3.55 					"," 						  60.0 					","27.5864583333"
"Eric Dalton "," 						  40.83 					"," 						  3.40 					"," 						  72.0 					","32.35097"
"Eric Davies "," 						  68.71 					"," 						  3.75 					"," 						  109.7 					","61.0247865"
"Alan Dawson "," 						  23.40 					"," 						  2.78 					"," 						  50.4 					","16.68342"
"Ossie Dawson "," 						  57.80 					"," 						  2.68 					"," 						  129.4 					","50.0047066667"
"Zander de Bruyn "," 						  30.66 					"," 						  2.55 					"," 						  72.0 					","22.772715"
"Fanie de Villiers "," 						  24.27 					"," 						  2.57 					"," 						  56.5 					","17.3024875"
"Cec Dixon "," 						  39.33 					"," 						  2.95 					"," 						  80.0 					","30.7593375"
"Allan Donald "," 						  22.25 					"," 						  2.83 					"," 						  47.0 					","15.7771041667"
"Richard Dumbrill "," 						  37.33 					"," 						  2.47 					"," 						  90.6 					","28.9413268333"
"Jacobus Duminy "," 						  39.00 					"," 						  3.90 					"," 						  60.0 					","31.1025"
"Jackie du Preez "," 						  17.00 					"," 						  2.12 					"," 						  48.0 					","11.3843333333"
"Flooi du Toit "," 						  47.00 					"," 						  3.31 					"," 						  85.0 					","38.2149166667"
