Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Dodda Ganesh "," 						  57.40 					"," 						  3.73 					"," 						  92.2 					","49.98966"
"Sourav Ganguly "," 						  52.53 					"," 						  3.23 					"," 						  97.4 					","44.981439"
"Sunil Gavaskar "," 						  206.00 					"," 						  3.25 					"," 						  380.0 					","293.035"
"Karsan Ghavri "," 						  33.54 					"," 						  3.11 					"," 						  64.5 					","26.31213"
"Harbhajan Singh "," 						  32.46 					"," 						  2.84 					"," 						  68.5 					","25.28634"
"Harvinder Singh "," 						  46.25 					"," 						  4.06 					"," 						  68.2 					","38.82225"
"Narendra Hirwani "," 						  30.10 					"," 						  2.77 					"," 						  65.1 					","23.13787"
"Wasim Jaffer "," 						  9.00 					"," 						  1.63 					"," 						  33.0 					","5.8275"
"Sunil Joshi "," 						  35.85 					"," 						  2.55 					"," 						  84.1 					","28.525845"
"Kapil Dev "," 						  29.64 					"," 						  2.78 					"," 						  63.9 					","22.727952"
"Aashish Kapoor "," 						  42.50 					"," 						  2.38 					"," 						  107.0 					","35.4025"
"Murali Kartik "," 						  34.16 					"," 						  2.54 					"," 						  80.5 					","26.91808"
"Zaheer Khan "," 						  32.94 					"," 						  3.27 					"," 						  60.4 					","25.834842"
"Syed Kirmani "," 						  13.00 					"," 						  4.10 					"," 						  19.0 					","9.659"
