Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Damien Martyn "," 						  84.00 					"," 						  2.89 					"," 						  174.0 					","81.193"
"Bob Massie "," 						  20.87 					"," 						  2.23 					"," 						  56.0 					","14.4437791667"
"Chris Matthews "," 						  52.16 					"," 						  3.29 					"," 						  95.0 					","43.3927733333"
"Greg Matthews "," 						  48.22 					"," 						  2.81 					"," 						  102.8 					","39.5170936667"
"Jimmy Matthews "," 						  26.18 					"," 						  2.32 					"," 						  67.5 					","18.8583266667"
"Laurie Mayne "," 						  33.05 					"," 						  3.01 					"," 						  65.8 					","25.0249091667"
"Tim May "," 						  34.74 					"," 						  2.37 					"," 						  87.6 					","26.522253"
"Stan McCabe "," 						  42.86 					"," 						  2.47 					"," 						  104.0 					","34.3772916667"
"Colin McCool "," 						  26.61 					"," 						  2.29 					"," 						  69.5 					","19.2279425"
"Ernie McCormick "," 						  29.97 					"," 						  3.07 					"," 						  58.5 					","22.3601175"
"Craig McDermott "," 						  28.63 					"," 						  3.01 					"," 						  56.9 					","21.1685448333"
"Andrew McDonald "," 						  33.33 					"," 						  2.45 					"," 						  81.3 					","25.1813705"
"Ted McDonald "," 						  33.27 					"," 						  2.97 					"," 						  67.0 					","25.1937075"
"Glenn McGrath "," 						  21.64 					"," 						  2.49 					"," 						  51.9 					","15.127442"
"Peter McIntyre "," 						  38.80 					"," 						  2.96 					"," 						  78.6 					","30.2588266667"
"Graham McKenzie "," 						  29.78 					"," 						  2.48 					"," 						  71.8 					","21.9855813333"
"Tom McKibbin "," 						  29.17 					"," 						  2.88 					"," 						  60.7 					","21.568298"
"John McLaren "," 						  70.00 					"," 						  2.91 					"," 						  144.0 					","63.5425"
"Charlie McLeod "," 						  40.15 					"," 						  2.35 					"," 						  102.2 					","31.7780558333"
"Bob McLeod "," 						  31.83 					"," 						  2.10 					"," 						  90.7 					","23.996637"
"George McShane "," 						  48.00 					"," 						  2.66 					"," 						  108.0 					","39.416"
"Ian Meckiff "," 						  31.62 					"," 						  2.28 					"," 						  82.9 					","23.677056"
"Billy Midwinter "," 						  25.20 					"," 						  2.10 					"," 						  71.8 					","18.04572"
"Colin Miller "," 						  26.15 					"," 						  2.64 					"," 						  59.2 					","18.89076"
"Keith Miller "," 						  22.97 					"," 						  2.24 					"," 						  61.5 					","16.1632233333"
"Roy Minnett "," 						  26.36 					"," 						  2.95 					"," 						  53.5 					","19.2186366667"
"Frank Misson "," 						  38.50 					"," 						  3.08 					"," 						  74.8 					","30.0017666667"
"Tom Moody "," 						  73.50 					"," 						  2.04 					"," 						  216.0 					","73.5735"
"Arthur Morris "," 						  25.00 					"," 						  2.70 					"," 						  55.5 					","17.9625"
"Sam Morris "," 						  36.50 					"," 						  3.22 					"," 						  68.0 					","28.2449166667"
"William Moule "," 						  7.66 					"," 						  2.70 					"," 						  17.0 					","4.91389"
"Scott Muller "," 						  36.85 					"," 						  4.44 					"," 						  49.7 					","29.78954"
"Clint McKay "," 						  101.00 					"," 						  3.60 					"," 						  168.0 					","100.596"
"Lisle Nagel "," 						  55.00 					"," 						  2.51 					"," 						  131.0 					","47.2129166667"
"Laurie Nash "," 						  12.60 					"," 						  2.43 					"," 						  31.1 					","8.23977"
"Matthew Nicholson "," 						  28.75 					"," 						  4.60 					"," 						  37.5 					","22.8083333333"
"Geff Noblet "," 						  26.14 					"," 						  1.41 					"," 						  110.5 					","19.689955"
"Monty Noble "," 						  25.00 					"," 						  2.53 					"," 						  59.1 					","17.8945833333"
"Marcus North "," 						  42.21 					"," 						  2.81 					"," 						  89.8 					","33.4943385"
"Jack O'Connor "," 						  26.15 					"," 						  2.94 					"," 						  53.2 					","19.034585"
"Simon O'Donnell "," 						  84.00 					"," 						  3.21 					"," 						  156.6 					","79.8378"
"Kerry O'Keeffe "," 						  38.07 					"," 						  2.24 					"," 						  101.5 					","29.83419"
"Norm O'Neill "," 						  39.23 					"," 						  2.87 					"," 						  81.8 					","30.6392838333"
"Bill O'Reilly "," 						  22.59 					"," 						  1.94 					"," 						  69.6 					","15.866463"
"Ron Oxenham "," 						  37.28 					"," 						  1.73 					"," 						  128.7 					","30.1340453333"
"Steve O'Keefe "," 						  29.40 					"," 						  2.77 					"," 						  63.6 					","21.72023"
"Joey Palmer "," 						  21.51 					"," 						  2.22 					"," 						  57.9 					","14.955903"
"Len Pascoe "," 						  26.06 					"," 						  2.94 					"," 						  53.1 					","18.963862"
"Peter Philpott "," 						  38.46 					"," 						  2.65 					"," 						  87.0 					","29.944315"
"Ricky Ponting "," 						  55.20 					"," 						  2.82 					"," 						  117.4 					","46.88136"
"Carl Rackemann "," 						  29.15 					"," 						  2.50 					"," 						  69.7 					","21.4320516667"
"Vernon Ransford "," 						  28.00 					"," 						  3.90 					"," 						  43.0 					","21.378"
"John Reedman "," 						  24.00 					"," 						  2.52 					"," 						  57.0 					","17.064"
"Bruce Reid "," 						  24.63 					"," 						  2.67 					"," 						  55.2 					","17.6387745"
"Paul Reiffel "," 						  26.96 					"," 						  2.62 					"," 						  61.5 					","19.5684666667"
"David Renneberg "," 						  36.08 					"," 						  3.11 					"," 						  69.4 					","27.7894173333"
"Arthur Richardson "," 						  43.41 					"," 						  1.72 					"," 						  151.0 					","36.99979"
"Doug Ring "," 						  37.28 					"," 						  2.58 					"," 						  86.4 					","28.828624"
"Gavin Robertson "," 						  39.61 					"," 						  3.44 					"," 						  69.0 					","31.2390866667"
"Gordon Rorke "," 						  20.30 					"," 						  1.73 					"," 						  70.3 					","14.0377883333"
"John Rutherford "," 						  15.00 					"," 						  2.50 					"," 						  36.0 					","10.0175"
"Jack Ryder "," 						  43.70 					"," 						  2.35 					"," 						  111.5 					","35.4006416667"
"Jack Saunders "," 						  22.73 					"," 						  3.02 					"," 						  45.1 					","16.2830143333"
"Morris Sievers "," 						  17.88 					"," 						  1.60 					"," 						  66.8 					","12.103568"
"Bob Simpson "," 						  42.26 					"," 						  2.61 					"," 						  96.9 					","33.641073"
"David Sincock "," 						  51.25 					"," 						  3.39 					"," 						  90.5 					","42.4734375"
"Keith Slater "," 						  50.50 					"," 						  2.36 					"," 						  128.0 					","42.6051666667"
"Michael Slater "," 						  10.00 					"," 						  2.40 					"," 						  25.0 					","6.4"
"Peter Sleep "," 						  45.06 					"," 						  2.81 					"," 						  96.1 					","36.323617"
"Frederick Spofforth "," 						  18.41 					"," 						  2.48 					"," 						  44.5 					","12.5863033333"
"Keith Stackpole "," 						  66.73 					"," 						  2.58 					"," 						  154.7 					","60.717627"
"Andrew Symonds "," 						  37.33 					"," 						  2.56 					"," 						  87.2 					","28.8834653333"
"Peter Siddle "," 						  29.92 					"," 						  2.92 					"," 						  61.3 					","22.2285653333"
"Johnny Taylor "," 						  45.00 					"," 						  2.36 					"," 						  114.0 					","36.705"
"Mark Taylor "," 						  26.00 					"," 						  3.71 					"," 						  42.0 					","19.5108333333"
"Peter Taylor "," 						  39.55 					"," 						  2.87 					"," 						  82.4 					","30.9366691667"
"Alan Thomson "," 						  54.50 					"," 						  2.58 					"," 						  126.5 					","46.51575"
"Jeff Thomson "," 						  28.00 					"," 						  3.18 					"," 						  52.6 					","20.7396"
"Nat Thomson "," 						  31.00 					"," 						  1.66 					"," 						  112.0 					","23.8958333333"
"Ernie Toshack "," 						  21.04 					"," 						  1.88 					"," 						  66.8 					","14.5863306667"
"Ike Travers "," 						  14.00 					"," 						  1.75 					"," 						  48.0 					","9.07316666667"
"George Tribe "," 						  165.00 					"," 						  2.60 					"," 						  380.0 					","224.675"
"Harry Trott "," 						  35.13 					"," 						  3.23 					"," 						  65.2 					","27.0085295"
"Hugh Trumble "," 						  21.78 					"," 						  2.27 					"," 						  57.4 					","15.185379"
"John Trumble "," 						  22.20 					"," 						  2.22 					"," 						  60.0 					","15.5289"
"Victor Trumper "," 						  39.62 					"," 						  3.48 					"," 						  68.2 					","31.276028"
"Charlie Turner "," 						  16.53 					"," 						  1.93 					"," 						  51.2 					","10.9921745"
"Shaun Tait "," 						  60.40 					"," 						  4.37 					"," 						  82.8 					","52.5792066667"
"Tom Veivers "," 						  41.66 					"," 						  1.96 					"," 						  127.0 					","34.0917666667"
"Mervyn Waite "," 						  190.00 					"," 						  2.06 					"," 						  552.0 					","318.091666667"
"Max Walker "," 						  27.47 					"," 						  2.25 					"," 						  73.1 					","19.9830515"
"Tim Wall "," 						  35.89 					"," 						  2.50 					"," 						  85.9 					","27.5503603333"
"Doug Walters "," 						  29.08 					"," 						  2.59 					"," 						  67.2 					","21.3878553333"
"Frank Ward "," 						  52.18 					"," 						  2.71 					"," 						  115.2 					","43.7520603333"
"Shane Warne "," 						  25.41 					"," 						  2.65 					"," 						  57.4 					","18.2795305"
"Graeme Watson "," 						  42.33 					"," 						  2.76 					"," 						  92.0 					","33.65235"
"Shane Watson "," 						  33.68 					"," 						  2.75 					"," 						  73.2 					","25.4895853333"
"Mark Waugh "," 						  41.16 					"," 						  3.00 					"," 						  82.2 					","32.491704"
"Steve Waugh "," 						  37.44 					"," 						  2.64 					"," 						  84.8 					","28.963584"
"Mike Whitney "," 						  33.97 					"," 						  2.97 					"," 						  68.5 					","25.8256925"
"Bill Whitty "," 						  21.12 					"," 						  2.45 					"," 						  51.6 					","14.701984"
"Brad Williams "," 						  45.11 					"," 						  2.85 					"," 						  94.6 					","36.3338495"
"Jack Wilson "," 						  64.00 					"," 						  1.77 					"," 						  216.0 					","63.056"
"Jack Worrall "," 						  127.00 					"," 						  2.98 					"," 						  255.0 					","143.996833333"
"Cameron White "," 						  68.40 					"," 						  3.67 					"," 						  111.6 					","60.69018"
"Graham Yallop "," 						  116.00 					"," 						  3.62 					"," 						  192.0 					","121.239333333"
"Bruce Yardley "," 						  31.63 					"," 						  2.68 					"," 						  70.7 					","23.6508053333"
