Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Doug Walters "," 						  29.08 					"," 						  2.59 					"," 						  67.2 					","22.214212"
"Shane Warne "," 						  25.41 					"," 						  2.65 					"," 						  57.4 					","18.988893"
"Graeme Watson "," 						  42.33 					"," 						  2.76 					"," 						  92.0 					","34.79526"
"Shane Watson "," 						  33.68 					"," 						  2.75 					"," 						  73.2 					","26.401752"
"Mark Waugh "," 						  41.16 					"," 						  3.00 					"," 						  82.2 					","33.520704"
"Steve Waugh "," 						  37.44 					"," 						  2.64 					"," 						  84.8 					","30.011904"
"Mike Whitney "," 						  33.97 					"," 						  2.97 					"," 						  68.5 					","26.683435"
"Brad Williams "," 						  45.11 					"," 						  2.85 					"," 						  94.6 					","37.517987"
"Cameron White "," 						  68.40 					"," 						  3.67 					"," 						  111.6 					","62.01828"
"Graham Yallop "," 						  116.00 					"," 						  3.62 					"," 						  192.0 					","123.54"
"Bruce Yardley "," 						  31.63 					"," 						  2.68 					"," 						  70.7 					","24.525902"
